15K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
,SEA,0.49019,0.69229,0.75305,0.81552,561.874,0.581,0.50514,0.71514,0.77114,0.83486,517.759,0.598,0.51676,0.72143,0.78086,0.84676,516.231,0.608,0.48943,0.6979,0.75648,0.82286,540.804,0.582,0.4979,0.70495,0.76105,0.82686,509.328,0.588,0.49988,0.0114,0.70634,0.012,0.76452,0.01139,0.82937,0.01197,529.199,21.773,0.591,0.012
,RSN4EA,0.51562,0.65,0.68552,0.7579,425.681,0.578,0.51105,0.65657,0.69257,0.76467,380.994,0.578,0.51752,0.65886,0.69543,0.76971,392.057,0.583,0.51648,0.65829,0.69276,0.76829,334.97,0.583,0.5101,0.65133,0.68657,0.75733,397.191,0.576,0.51415,0.00335,0.65501,0.00408,0.69057,0.0043,0.76358,0.00575,386.179,33.036,0.58,0.003
,MultiKE,0.90429,0.94095,0.95019,0.96962,20.329,0.921,0.9,0.93714,0.94724,0.97038,20.728,0.917,0.90152,0.93981,0.94933,0.96933,18.673,0.92,0.89905,0.93619,0.94857,0.96867,19.077,0.916,0.90781,0.94295,0.95219,0.97343,18.593,0.924,0.90253,0.00355,0.93941,0.00277,0.9495,0.00185,0.97029,0.00186,19.48,0.985,0.92,0.003
,RDGCN,0.93467,0.97086,0.97648,0.98552,16.367,0.951,0.93229,0.96781,0.97371,0.9839,17.846,0.949,0.934,0.97067,0.97552,0.98533,15.335,0.951,0.92448,0.96457,0.96905,0.98048,22.887,0.943,0.93095,0.96867,0.97514,0.98419,16.468,0.949,0.93128,0.00407,0.96852,0.00256,0.97398,0.00293,0.98388,0.00203,17.781,2.991,0.949,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15K_V2,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-FR,MTransE,0.24476,0.44048,0.52857,0.71886,199.983,0.34,0.24295,0.44105,0.534,0.72619,205.849,0.339,0.24362,0.43524,0.52238,0.70867,217.61,0.337,0.23695,0.44019,0.52714,0.73305,193.577,0.336,0.23352,0.42343,0.51324,0.70876,212.909,0.327,0.24036,0.00488,0.43608,0.00744,0.52507,0.0078,0.71911,0.01073,205.986,9.658,0.336,0.005
,IPTransE,0.21781,0.41867,0.49905,0.68667,337.607,0.315,0.24752,0.47286,0.56676,0.77305,201.853,0.356,0.23962,0.45962,0.55286,0.75267,244.806,0.345,0.23029,0.43838,0.53114,0.72676,247.501,0.332,0.244,0.45762,0.54714,0.76029,200.02,0.348,0.23585,0.01197,0.44943,0.02114,0.53939,0.02591,0.73989,0.03422,246.357,55.808,0.339,0.016
