,,15K (V1),,,,,,,15K (V2),,,,,,,100K (V1),,,,,,,100K (V2),,,,,,
,,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.
EN-FR,MTransE,151,87.5,129.3,133.7,129.8,126.3,23.4,130.5,138.6,114,114.7,143.1,128.2,13.4,645.5,691.6,472.4,570.8,859.6,648,144.5,609.2,526.7,631.9,567.7,484.5,564,60
,MultiKE,407.6,332.3,485.8,186.3,406.3,363.7,113,562.2,724.5,261.3,469.1,"1,211.10",645.6,357.7,"2,766.10","2,782.50","3,181.30","2,651.40","8,555.40","3,987.30","2,561.50","4,933.70","2,609.30","3,087.70","3,494.40","4,921.20","3,809.20","1,067.80"
,RDGCN,"1,324.60","1,486.10","1,385.00",556.1,393.2,"1,029.00",512.6,"1,130.90","1,579.80","1,296.70","1,962.20","1,177.70","1,429.50",345.2,"5,746.90","6,494.10","6,266.60","6,392.40","6,523.80","6,284.80",317.1,"6,774.30","7,703.50","6,737.10","6,248.00","6,448.00","6,782.10",558.6
D-Y,MTransE,205.5,145.2,141,147,206.8,169.1,33.9,212.6,208.4,131.9,191.8,172.1,183.4,32.9,941.7,439.2,721.2,723.4,959.2,756.9,211.2,500.5,560.3,544.5,482.9,479.3,513.5,36.9
,IPTransE,552.2,355.5,394.8,348.6,562.7,442.8,106.2,"1,301.80","1,388.20","1,287.40","1,090.00","1,101.80","1,233.90",131.7,"10,062.90","8,570.60","6,410.80","9,772.40","10,479.20","9,059.20","1,642.00","16,677.40","14,799.30","18,982.60","15,773.30","18,910.70","17,028.70","1,872.80"
,JAPE,426.5,269.7,418.7,337.3,344.4,359.3,64.8,232.9,227.8,304.3,309.4,267.4,268.4,38.3,"6,739.50","5,246.70","5,542.20","7,944.50","6,799.10","6,454.40","1,085.30","3,800.60","3,796.60","3,833.50","4,126.40","3,820.70","3,875.50",141
,KDCoE,456.1,537.8,612,199.7,504.4,462,157.2,834.3,805.5,518.7,585.4,489.1,646.6,162.3,"6,360.80","6,036.70","7,862.60","6,611.20","6,317.90","6,637.80",714.3,"6,970.80","8,026.00","8,967.90","7,589.60","8,845.90","8,080.00",843.9
,BootEA,"1,968.80","2,807.30","1,490.10","1,737.60","2,438.40","2,088.50",532.6,"1,627.50","1,340.30","1,391.50","1,158.20","1,376.20","1,378.70",167.4,"35,618.80","47,483.80","32,956.80","28,246.10","29,521.70","34,765.50","7,677.20","42,626.50","54,992.00","40,117.10","31,281.80","39,937.10","41,790.90","8,538.80"
,GCN-Align,62.6,119.2,110.7,73.9,81.5,89.6,24.3,92.2,64.5,87.3,64.6,76.2,77,12.7,"4,119.50","3,838.80","2,892.40","4,476.00","2,752.50","3,615.80",760.3,"9,343.30","11,782.80","9,153.10","9,013.10","9,156.70","9,689.80","1,175.90"
,AttrE,922.6,964.6,737.7,854.5,"1,039.90",903.9,114.7,840.1,"1,120.50",658,991.8,"1,099.90",942.1,193.9,"5,781.80","9,542.20","10,263.30","9,271.30","6,186.50","8,209.00","2,068.10","11,927.40","7,973.20","6,360.60","6,644.00","7,828.90","8,146.80","2,229.00"
,IMUSE,126.7,136,222.2,210.6,189.6,177,43.4,362.1,376.8,250.1,385.3,370.3,348.9,55.9,"6,355.10","6,175.00","4,224.00","5,956.30","4,059.40","5,354.00","1,117.10","5,997.20","7,465.90","5,009.20","5,841.70","6,102.80","6,083.30",884.8
,SEA,113.9,155.2,229.9,131.3,138.7,153.8,45,212.2,307.9,201.2,230.7,221.8,234.7,42.3,"1,511.80","2,647.60","3,267.30","1,118.20","3,721.70","2,453.30","1,115.60","5,535.20","2,969.60","4,021.50","4,867.50","3,933.20","4,265.40",977.7
,RSN4EA,"1,429.10","1,433.10","1,434.20","1,430.20","1,433.30","1,432.00",2.2,"3,216.10","3,198.30","3,257.40","3,216.30","2,928.10","3,163.20",133.2,"10,743.90","10,659.60","10,665.20","11,010.70","11,059.30","10,827.70",192.9,"22,539.40","21,844.00","22,264.50","22,325.10","21,852.70","22,165.10",306.7
,MultiKE,342.3,375.9,159,406,314.5,319.5,96.1,550,340.5,214,300.2,886.6,458.2,269.4,"6,572.30","2,200.30","2,209.50","3,931.60","2,218.10","3,426.40","1,910.20","8,161.40","4,185.50","5,000.10","2,354.20","2,688.90","4,478.00","2,325.80"
,RDGCN,"1,086.00",598,543,707.1,589.3,704.7,221.5,564.9,836.4,840.8,"1,228.50","1,280.60",950.3,300,"4,281.40","4,731.50","4,046.80","4,252.00","4,318.40","4,326.00",250,"5,231.20","5,196.50","5,164.90","5,414.70","4,633.50","5,128.20",293
